Alternative to column D! e.g. magazine title	only three types are allowed at this stage:  Journal, Newspaper and Magazine
Work title	Work type
الاتحاد	Newspaper
الجديد	Magazine
المواكب	Magazine
مواقف (Nazareth)	Magazine
المنتدى	Magazine
الغد (Jerusalem 2)	Magazine
الآداب	Magazine
آداب الرافدين	Magazine
الآداب العالمية	Magazine
الآخر	Journal
افاق	Magazine
آفاق فلسطينية 	Magazine
إبداع	Magazine
أبو نظارة	Newspaper
الاتحاد العربي	Newspaper
اتحاد العمال	Newspaper
الاخلاق	Magazine
أدب	Magazine
الأديب	Magazine
اريئيل 	Magazine
أصوات	Magazine
الإعلان	Newspaper
الاغتراب الادبي	Magazine
أفكار	Magazine
الأفق الجديد	Magazine
الاقدام	Newspaper
الأقلام	Magazine
أقواس	Magazine
اور	Magazine
الأوقات العربية	Newspaper
الباحث	Magazine
البعث	Newspaper
البيادر	Magazine
بيت لحم	Newspaper
التبين	Magazine
التراث والمجتمع	Magazine
الجزيرة	Newspaper
جسور	Magazine
جاليري ٦٨	Magazine
الجهاد	Newspaper
جيل الزيتون	Magazine
الحارس	Magazine
حوار	Magazine
الحياة (Haifa)	Newspaper
الحياة (Beirut)	Newspaper
حيفا	Newspaper
الخميس	Magazine
دار المعلمين	Newspaper
الدفاع	Newspaper
دبي الثقافية	Magazine
الدستور	Newspaper
دراسات المرأة	Journal
الرابطة	Magazine
الرائدة	Magazine
روضة المعارف	Magazine
روز يوسف	Magazine
الزمرة	Newspaper
الزهرة	Magazine
الزهور	Newspaper
السمير	Magazine
السهام	Newspaper
الشباب	Magazine
الشرارة	Newspaper
الشرق الأوسط	Newspaper
الشعب	Newspaper
شعر	Magazine
الشعر	Magazine
الشعراء	Magazine
شؤون المرأة	Magazine
صدى المهجر	Magazine
الصراط	Newspaper
الصرخة	Magazine
الصريح	Magazine
الصغير	Magazine
صوت الشعب	Newspaper
صوت فلسطين	Magazine
الصياد	Magazine
الطبل	Newspaper
الطليعة الأدبية	Magazine
الطليعة العربية	Magazine
عالم المعلومات	Magazine
عالم الفكر	Magazine
عالم الكتاب	Magazine
العرب	Newspaper
العرب والفكر العالمي	Magazine
العربي	Magazine
عطارد	Magazine
العهد الجديد	Magazine
الغد (Jerusalem)	Magazine
الغد (Haifa)	Magazine
الغدير	Magazine
الغربال	Magazine
الفجر	Magazine
الفجر الادبي	Newspaper
فصول	Magazine
فكر وابداع	Magazine
فكر وفن	Magazine
فكر ونقد	Magazine
فلسطين الثورة	Magazine
فلسطين (Jaffa)	Newspaper
الفنون	Newspaper
الفيصل	Magazine
القافلة	Magazine
القبس الدولي	Newspaper
القدس	Newspaper
القدس الشريف	Newspaper
القدس العربي	Newspaper
القلم الجديد	Newspaper
الكاتب الفلسطيني	Magazine
الكاتبة	Magazine
الكتب وجهات نظر	Magazine
الكرمل (Haifa)	Newspaper
الكرمل (Beirut)	Journal
الكرمل (Nicosia)	Journal
الكرمل (Ramallah)	Journal
الكرمل (Haifa)	Magazine
الكرمل الجديد	Magazine
الكشاف	Magazine
كشاف الصحراء	Magazine
الكفاح	Newspaper
كلمة	Magazine
كنعان	Magazine
لسان العرب	Newspaper
اللهاب	Newspaper
اللواء	Newspaper
مرآة الشرق	Newspaper
مرأة الغرب	Newspaper
المستقبل	Magazine
المجاهد	Magazine
الآداب الأجنبية	Magazine
مجلة الدراسات الفلسطينية	Journal
المرصاد	Magazine
المزمار	Magazine
المستقبل العربي	Magazine
مشارف	Magazine
الطرقة	Newspaper
المعاد	Newspaper
المعرفة	Magazine
المقتطف	Newspaper
المنادي	Newspaper
المنبر	Magazine
المنهل	Magazine
المهماز	Magazine
الموقف الأدبي	Magazine
نضال الشعب	Newspaper
النفائس العصرية	Magazine
النفير	Newspaper
نقد	Magazine
النهضة	Newspaper
الهدف (Jerusalem)	Magazine
الهدف (Tel Aviv)	Magazine
الهدف (Beirut)	Magazine
الهلال	Magazine
هنا القدس	Magazine
الوجدة	Newspaper
اليوم	Newspaper
اليوم السابع	Magazine
اليرموك	Newspaper
شؤون فلسطينية ١	Magazine
شؤون فلسطينية ٢	Magazine
شؤون فلسطينية ٣	Magazine
السفير‎	Magazine
مواقف (Beirut)	Magazine
الطريق	Magazine
النهار	Magazine
Journal of Palestinian Studies 	Journal
Arab Studies Quarterly	Journal
Contemporary Arab Affairs	Journal
الحرية	Magazine
بيروت المساء	Newspaper
بدايات	Magazine
المحرر	Newspaper
الأسبوع	Magazine
مجلة المسرح	Magazine
الموقف العربي	Magazine
فلسطين (Beirut)	Newspaper
الرأي	Magazine
الثورة الفلسطينية	Magazine
الانوار	Newspaper
الشروق	Magazine
آفاق عربية	Magazine
أسفار	Magazine
الذخيرة	Magazine
الفجر	Newspaper
نزوى	Magazine
المطرقة	Newspaper
الصراط	Magazine
فصل المقال	Journal
الصنارة	Journal
أنا النحلة أنا الدبور	Magazine
صوت الحق والحرية	Magazine
الحرية الياوافية	Magazine
الاتحاد الشيوعية الحيفاوية	Journal
الملايين	Journal
المعركة	Newspaper
اللوتس	Magazine
الأسبوع العربي	Magazine
الأهرام	Newspaper
الثورة السورية	Newspaper